pl_name,disc_year,discoverymethod,pl_orbper,pl_orbsmax,pl_rade,pl_masse,pl_bmasse,pl_dens,pl_eqt,pl_insol,pl_orbeccen,pl_orbincl,st_teff,st_rad,st_mass,st_lum,st_age,sy_dist
"K2-10 b",2015,"Transit",19.30553000000,0.1370000000,3.77300000,2.52000000000000e+01,25.20000000,2.360000,649.00,42.1000,0.310000,89.50414,5533.00,0.956000,0.880000,-0.10088,,272.36000000
"Kepler-221 d",2014,"Transit",10.04156000000,0.0870000000,2.73000000,3.61000000000000e+00,3.61000000,0.900000,712.00,56.2930,0.000000,87.80000,5243.00,0.821000,0.854000,-0.40429,1.7800,385.23100000
"Kepler-128 b",2013,"Transit",15.00000000000,0.1254500000,1.42100000,3.79000000000000e+00,3.79000000,7.222837,968.00,227.3980,0.000000,89.96000,6072.00,1.659000,1.184000,0.57542,4.0700,396.37900000
"Kepler-272 c",2014,"Transit",6.05734200000,0.0610000000,1.79000000,9.78000000000000e+01,97.80000000,93.700000,947.00,310.7600,0.000000,88.98000,5297.00,0.929000,0.910000,0.06634,13.1800,889.60800000
"CoRoT-3 b",2008,"Transit",4.25680000000,0.0578300000,11.32000000,6.88391000000000e+03,6883.91000000,26.400000,1695.00,,0.000000,85.90000,6740.00,1.560000,1.370000,0.39086,2.2000,768.77100000
"NGTS-10 b",2020,"Transit",0.76689440000,0.0143000000,13.50684500,6.87148460000000e+02,687.14846000,1.430000,1332.00,,0.000000,,4600.00,0.697000,0.696000,-0.75673,10.4000,324.69865036
"HD 156279 c",2018,"Radial Velocity",4818.25358000000,5.4860000000,12.50000000,3.09882696825000e+03,3098.82696825,8.720000,,,0.261000,74.69900,5453.00,0.950000,0.940000,-0.14596,4.1000,36.19450000
"GJ 179 b",2009,"Radial Velocity",2288.00000000000,2.4100000000,13.80000000,3.01936986650000e+02,301.93698665,0.631000,,,0.210000,61.00000,3370.00,0.380000,0.357000,-1.79600,,12.35600000
"GQ Lup b",2004,"Imaging",,100.0000000000,33.60000000,6.35600000000000e+03,6356.00000000,0.921000,2650.00,,,,4360.00,1.941530,0.700000,-0.07239,0.0010,151.16900000
"GJ 832 b",2008,"Radial Velocity",3853.00000000000,3.7000000000,13.80000000,3.14650122930000e+02,314.65012293,0.658000,,,0.050000,51.00000,3472.00,0.441557,0.450000,-1.58500,8.1000,4.96435000
"HD 3167 b",2016,"Transit",0.95964100000,0.0179600000,1.67000000,4.97000000000000e+00,4.97000000,5.600000,1774.00,1650.0000,0.000000,83.40000,5261.00,0.880000,0.837000,-0.27003,7.8000,47.28990000
"GJ 876 b",1998,"Radial Velocity",61.11660000000,0.2083170000,13.30000000,7.23223500000000e+02,723.22350000,1.690000,,,0.032400,59.00000,3293.74,0.300000,0.320000,-1.90658,1.0000,4.67517000
"HD 114783 c",2018,"Radial Velocity",4352.00000000000,5.0000000000,13.40000000,6.03873973300000e+02,603.87397330,1.380000,,,0.050000,159.00000,5135.00,0.840622,0.900000,-0.37250,6.0000,21.06280000
"HD 12661 c",2002,"Radial Velocity",1708.00000000000,2.8145000000,13.20000000,8.99454391810000e+02,899.45439181,2.150000,,,0.031000,136.00000,5748.00,1.110000,1.020000,0.06300,6.3900,37.84780000
"GJ 876 d",2005,"Radial Velocity",1.93778000000,0.0208066500,2.51000000,6.83000000000000e+00,6.83000000,2.370000,,,0.207000,59.00000,3293.74,0.300000,0.320000,-1.90658,1.0000,4.67517000
"GJ 876 e",2010,"Radial Velocity",124.26000000000,0.3343000000,3.92000000,1.46000000000000e+01,14.60000000,1.330000,,,0.055000,59.00000,3293.74,0.300000,0.320000,-1.90658,1.0000,4.67517000
"CoRoT-17 b",2011,"Transit",3.76810000000,0.0461000000,11.43000000,7.72290000000000e+02,772.29000000,2.820000,1626.00,,0.000000,88.34000,5740.00,1.590000,1.040000,0.13421,10.7000,1176.12000000
"HD 55696 b",2018,"Radial Velocity",1827.00000000000,3.1800000000,12.90000000,1.35712729789000e+03,1357.12729789,3.470000,,,0.705000,57.00000,6012.00,1.520000,1.290000,0.43000,2.6400,77.96930000
"HD 29985 b",2022,"Radial Velocity",20608.14049000000,13.3900000000,12.80000000,1.73947487151100e+03,1739.47487151,4.560000,,,0.261000,52.65800,4678.00,0.574666,0.750000,-0.84623,,31.27070000
"HD 3167 c",2016,"Transit",29.84540000000,0.1776000000,3.00000000,1.11300000000000e+01,11.13000000,2.110000,564.00,16.9000,0.060000,89.30000,5261.00,0.880000,0.837000,-0.27003,7.8000,47.28990000
"MOA-2009-BLG-266L b",2011,"Microlensing",2800.00000000000,3.2000000000,3.21000000,1.04000000000000e+01,10.40000000,1.730000,,,,,,,0.560000,,,3040.00000000
"Kepler-595 c",2020,"Transit",12.38602000000,0.0983000000,1.00900000,3.30000000000000e+00,3.30000000,6.900000,679.00,50.2300,0.000000,89.01000,5138.50,0.821000,0.930000,-0.34768,2.7000,643.00900000
"Kepler-595 b",2016,"Transit",25.30290920000,0.1582000000,3.70800000,1.74000000000000e+01,17.40000000,1.230000,535.00,17.3820,0.000000,89.95000,5138.50,0.821000,0.930000,-0.34768,2.7000,643.00900000
"OGLE-TR-111 b",2004,"Transit",4.01444630000,0.0473000000,11.42197100,1.74799000000000e+02,174.79900000,0.650000,1019.00,,0.000000,88.30000,5040.00,0.830000,0.820000,-0.33862,8.8000,1068.33000000
"PSR B1257+12 b",1994,"Pulsar Timing",25.26200000000,0.1900000000,0.33800000,2.00000000000000e-02,0.02000000,2.850000,,,0.000000,50.00000,,,1.400000,,3.0000,600.00000000
"PSR B1257+12 d",1992,"Pulsar Timing",98.21140000000,0.4600000000,1.80000000,3.90000000000000e+00,3.90000000,3.670000,,,0.026400,47.00000,,,1.400000,,3.0000,600.00000000
"CoRoT-18 b",2011,"Transit",1.90006930000,0.0295000000,14.68000000,1.10282000000000e+03,1102.82000000,2.200000,1550.00,823.7009,0.080000,86.50000,5440.00,1.000000,0.950000,-0.17000,0.6000,764.88900000
"Kepler-45 b",2011,"Transit",2.45523900000,0.0300000000,10.76000000,1.60497000000000e+02,160.49700000,0.800000,1000.00,68.3700,0.110000,87.00000,3820.00,0.550000,0.590000,-1.27572,0.5000,381.94900000
"WASP-23 b",2010,"Transit",2.94442560000,0.0376000000,10.78300000,2.80950000000000e+02,280.95000000,1.170000,1076.55,317.4314,0.062000,88.39000,5150.00,0.765000,0.780000,-0.37679,6.2000,207.49000000
"SWEEPS-11 b",2006,"Transit",1.79600000000,0.0300000000,12.66600000,3.08282000000000e+03,3082.82000000,8.340000,,,,,,1.450000,1.100000,,,8500.00000000
"OGLE-TR-211 b",2007,"Transit",3.67724000000,0.0510000000,15.24400000,3.27351000000000e+02,327.35100000,0.420000,1686.00,,0.000000,87.20000,6325.00,1.640000,1.330000,0.26657,2.6000,1515.26000000
"Lupus-TR-3 b",2007,"Transit",3.91405000000,0.0464000000,9.97600000,2.57431000000000e+02,257.43100000,1.400000,,,0.000000,88.30000,5000.00,0.820000,0.870000,-1.46393,,773.40900000
"OGLE-2005-BLG-390L b",2005,"Microlensing",3285.00000000000,2.6000000000,2.21000000,5.50000000000000e+00,5.50000000,2.800000,50.00,,,,,,0.220000,,,6600.00000000
"HN Peg b",2006,"Imaging",,773.0000000000,11.77680000,6.99157000000000e+03,6991.57000000,23.500000,,,,,6186.00,1.006954,1.080000,0.06024,0.3000,18.11860000
"MOA-2009-BLG-387L b",2010,"Microlensing",1980.00000000000,1.8000000000,13.20000000,8.30000000000000e+02,830.00000000,1.980000,,,,52.00000,,,0.190000,,,5690.00000000
